ID	TRI	textTitle-freetext	Form	status	shelfmark	range_views	Date	Scripta
btv1b9060922n_Yvain-ou-le-Chevalier-au-lion_Yvain-ou-le-Chevalier-au-lion	Yvain ou le Chevalier au lion	Yvain ou le Chevalier au lion			français 12603	77-117	1301-1320
btv1b60003511_roman-de-la-poire_roman-de-la-poire	roman de la poire	roman de la poire			français 12786	9-56	1281-1320
btv1b90588940_Ovide-moralisé-en-prose--2nde-version-_Ovide-moralisé-en-prose-2nde-version-	Ovide moralisé en prose (2nde version)	Ovide moralisé en prose (2nde version)	prose		français 137	9-245	1401-1500
btv1b52511599n_Roman-de-la-violette_Roman-de-la-violette	Roman de la violette	Roman de la violette	verse		français 1374	273-352, 375	1201-1250
btv1b52511599n_Florimont_Florimont	Florimont	Florimont			français 1374	353-374	1201-1250
btv1b52511599n_Parise-la-Duchesse_Parise-la-Duchesse	Parise la Duchesse	Parise la Duchesse	verse		français 1374	9-49	1201-1250
btv1b52511599n_Cligés_Cligés	Cligés	Cligés	verse		français 1374	50-136	1201-1250
btv1b52511599n_venjance-Nostre-Seigneur_venjance-Nostre-Seigneur	venjance Nostre Seigneur	venjance Nostre Seigneur	verse		français 1374	157-188	1201-1250
btv1b52511599n_Girart-de-Vienne_Girart-de-Vienne	Girart de Vienne	Girart de Vienne	verse		français 1374	189-272	1201-1250
btv1b9059827w_Roman-d-Énéas_Roman-d-Énéas	Roman d’Énéas	Roman d’Énéas	verse		français 1416	2-64	1292
btv1b84478730_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 1421	7-56	1276-1300
btv1b84478730_Marques-de-Rome_Marques-de-Rome	Marques de Rome	Marques de Rome			français 1421	56-197	1276-1300
btv1b9059660t_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		français 1426	4-382	1466
btv1b90069238_Tristan_Tristan-en-prose	Tristan	Tristan en prose	prose		français 1434	3-160	1251-1300
btv1b10515441p_Gerbert-de-Metz_Gerbert-de-Metz	Gerbert de Metz	Gerbert de Metz	verse		français 1442	296-523	1276-1300
btv1b10515441p_Garin-le-Loherain_Version-en-décasyllabes	Garin le Loherain	Version en décasyllabes	verse		français 1442	3-296	1276-1300
btv1b9058889p_Gerbert-de-Metz_Gerbert-de-Metz	Gerbert de Metz	Gerbert de Metz	verse		français 1443	113-196	1201-1300
btv1b9058889p_Garin-le-Loherain_Version-en-décasyllabes	Garin le Loherain	Version en décasyllabes	verse		français 1443	2-113	1201-1300
btv1b90590400_Eracle_Eracle	Eracle	Eracle			français 1444	129-156	1281-1300
btv1b90590400_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		français 1444	268-292	1281-1300
btv1b90590400_Marques-de-Rome_Marques-de-Rome	Marques de Rome	Marques de Rome			français 1444	292-313	1281-1300
btv1b90590400_roman-de-Laurin_roman-de-Laurin	roman de Laurin	roman de Laurin			français 1444	313-332	1281-1300
btv1b10509655q_Floire-et-Blancheflor--Version-I-dite-aristocratique-_	Floire et Blancheflor (Version I dite aristocratique)				français 1447	11-50	1285-1295
btv1b10509655q_Berte-aus-grans-piés_Berte-aus-grans-piés	Berte aus grans piés	Berte aus grans piés	verse		français 1447	51-142	1285-1295
btv1b10509655q_roumanz-de-Claris-et-Laris_roumanz-de-Claris-et-Laris	roumanz de Claris et Laris	roumanz de Claris et Laris			français 1447	143-524	1285-1295
